,datetime,title,content
10,2019-06-23 21:56:50,,【2019年上海世界移动大会下周举行 5G落地案例成主角】2019年上海世界移动大会将在6月26-28日举行。5G是时下通信行业的热点内容，也是本次大会的重点内容。大会将分为人工智能、连接、信息安全、数字健康、沉浸式内容、颠覆性创新、工业4.0、美好未来八大主题进行。涉及众多上市公司：长飞光纤将于26日下午发布长飞光云工业互联网解决方案。中国移动咪咕公司拥有独立展馆。高新兴等将展出智联汽车解决方案。
11,2019-06-23 21:52:50,,【2019内地票房破300亿】据猫眼数据，截至23日下午15:16分，当日票房迈过9100万时，2019年度中国电影总票房突破300亿元。这个速度比2018年突破300亿晚了一周，去年突破300亿的时间点是2018年6月16日。
12,2019-06-23 21:45:21,,【自动驾驶激光雷达厂商Velodyne筹备上市】媒体援引知情人士的话报道，自动驾驶汽车激光雷达制造商“Velodyne激光雷达公司”已聘请投资银行准备进行首次公开发行。据一家科技媒体援引消息人士的话说，Velodyne希望在2019年底前完成上市，该公司希望上市时的资本市值能够融资时18亿美元的估值。激光雷达是一种自动驾驶汽车上常用的设备，外观酷似一个圆柱形警灯。这种设备能够通过激光扫描技术，侦测自动驾驶汽车周边的环境，相当于车辆的“耳目”。
13,2019-06-23 21:44:56,,埃及总统西塞下令扩大原油和天然气勘探区域。
14,2019-06-23 21:43:24,,【华为依托5G建设扩大物联网海南布局】中国科学院院士、华为技术有限公司物联网专家等嘉宾聚首海南陵水黎族自治县“2019陵水·华为物联网产业高峰论坛”。论坛上华为高管表示，华为将开放自身在5G和物联网方面的技术和能力，在陵水县成立海南物联网创新中心，联合合作伙伴打造陵水物联网应用的示范标杆，孵化培育本地物联网产业生态。
15,2019-06-23 21:35:52,,【丝路基金收购ACWA Power旗下可再生能源公司49%股份】根据一份通过电子邮件发送的声明，总部位于北京的丝路基金收购ACWA Power旗下可再生能源公司49%的股份。总部设在沙特阿拉伯利雅得的电力和海水淡化供应商ACWA同意丝路基金作为可再生能源合作伙伴加入。ACWA Power Renewable Energy Holding Ltd．计划在阿联酋、南非、约旦、埃及和摩洛哥开展太阳能和风能业务。
16,2019-06-23 21:22:12,,【富时罗素首席执行官：今年11月中国国债将纳入富时债券观察名单】富时罗素首席执行官瓦卡斯·萨马德指出，在今年11月举行的地区债券咨询委员会会议之后，将公布完整的富时债券国家分类框架和完整的观察名单。中国国债将被添加到这份观察名单中，并根据规定的框架标准进行评估，以衡量其被纳入富时世界政府债券指数(FTSE WGBI)的可能性。（证券时报）
17,2019-06-23 21:12:17,,【99个项目成果在创交会签合作意向 金额约1.7亿元】2019中国创新创业成果交易会23日在广州闭幕，来自国内外的企业、高校和科研院所带来的1200多个成果项目参展。组委会统计，其中共有99个项目在创交会上达成合作意向，金额约为1.7亿元。（新华社）
18,2019-06-23 21:00:37,,【外资机构人士：QFII等外资更敢于集中持股】多位受访的外资机构人士表示，在众多新兴市场中，A股市场空间容量大，流动性较好，这是吸引外资的重要原因。相比于公募，QFII等外资更敢于集中持股。如QFII的前50大重仓股占其全部持股市值的比例约为30%。东吴证券首席经济学家陈李认为，5年后，外资前50大重仓股占其持股市值的比例将达50%以上。而集中持股将带来定价权，目前，外资对A股市场至少50只标杆股具有绝对定价权。（中国证券网）
19,2019-06-23 20:59:58,,【富时罗素CEO：看好中国资本市场的长期发展】6月24日开盘后，A股将正式纳入富时罗素指数。谈及这一重要时刻，富时罗素首席执行官Waqas Samad在接受记者独家采访时，多次称赞中国资本市场在对外开放领域所作出的努力。他表示，A股“入富”会是一个渐进的、多步骤的过程，这样能够降低“资本在新兴市场的流动扰乱全球市场”的可能性。他表示看好中国资本市场的长期发展，创业板等板块的良好运行，科创板在近日开通，都是中国资本市场变得更好的体现。（证券时报）
20,2019-06-23 20:42:18,,【6月地方发债近9000亿元，密集推重大投资项目】近日广东等地密集推出重大建设项目计划，6月地方政府债券发行明显加快，有望达到9000亿元的年内新高，为基建等重大项目输送资金。近期地方政府专项债首次被允许作为符合条件重大项目资本金，市场预计此举将新增几千亿元甚至上万亿元基础设施建设投资。民生银行研究院宏观分析师王静文认为，进入6月以来地方政府债券发行再度加速，基建投资发力空间将有显著扩大，托底作用将进一步增强。（第一财经）
21,2019-06-23 20:41:50,,【东盟峰会与会领导人同意推动RCEP谈判于年内完成】第34届东盟峰会22日至23日在轮值主席国泰国首都曼谷举行。泰国总理巴育23日在本届东盟峰会新闻发布会上说，东盟各国领导人在本届峰会上一致同意推动“区域全面经济伙伴关系协定”（RCEP）谈判于年内完成。（新华社）
22,2019-06-23 20:31:36,,【6家一起发！又有科创基金开售，每家限10亿，更有科创板打新马上来】就在6月24日，新一批6只科创主题基金就开始发售了，而6月27日，万众瞩目的科创板首只股票网上申购也要开始了。从目前来看，第三批科创主题基金都做足准备，基本是银行、券商、第三方销售机构代销全部打开。此外，从目前宣传来看，基金公司海报、微信文章等纷纷出炉，推广科创主题基金。值得一提的是，有些公司还在费率上做文章。（中国基金报）
23,2019-06-23 20:30:29,,【第六届西部旅游产业博览会签约金额超4000亿】第六届中国西部旅游产业博览会(以下简称“西旅会”)23日在重庆落幕。本届西旅会期间，140个文旅项目签约落地，签约金额4190亿元。据悉，西旅会每两年举办一次，2009年至今已成功举办五届。（中国新闻网）
24,2019-06-23 20:08:42,,【400多名737MAX飞行员状告波音掩盖已知设计缺陷】一纸诉状，400多名执飞波音737MAX客机的飞行员前日将波音告上法庭。“今日俄罗斯”(RT)23日报道这则消息时说，针对美国航空巨头波音公司的这起集体诉讼，指控波音在追求快速回报的过程中，掩盖传感器故障问题，并使得飞行员对这一点一无所知。诉讼于当地时间21日提出，波音被要求赔偿数百万美元。（环球网）
25,2019-06-23 19:50:05,,【屈冬玉当选联合国粮食及农业组织新一任总干事】农业农村部副部长屈冬玉23日当选联合国粮食及农业组织新一任总干事，成为该组织历史上首位中国籍总干事。（新华社）
26,2019-06-23 19:40:50,,今天《新闻联播》的主要内容：1、习近平将出席二十国集团领导人第十四次峰会；2、中办 国办印发《关于加强和改进乡村治理的指导意见》；3、【“不忘初心、牢记使命”主题教育进行时】广东 浙江：找准差距抓整改；4、山西：超92%深度贫困村完成整村搬迁；5、西藏：因地制宜强产业 确保群众稳收入；6、新华社“辛识平”文章：散播谬论不是解决问题的正确态度；7、全国人大西藏代表团访问斯里兰卡 缅甸；8、美几大港口反对对华加征关税；9、伊朗公布美军无人机侵犯领空证据。
27,2019-06-23 19:32:32,,【宝马（中国）召回部分进口X7汽车和进口摩托车：存安全隐患】据国家市场监督管理总局消息，日前，宝马（中国）汽车贸易有限公司根据《缺陷汽车产品召回管理条例》和《缺陷汽车产品召回管理条例实施办法》的要求，向国家市场监督管理总局备案了召回计划。决定自即日起，召回2018年11月21日至2019年3月8日期间生产的部分进口X7汽车，共计209辆。（IT之家）
28,2019-06-23 19:11:10,,【资金回流新兴市场：多国货币绝地反弹 是趋势反转？】近1个月来，土耳其里拉、阿根廷比索、巴西雷亚尔、俄罗斯卢布、印度尼西亚卢比等货币全面上涨。而在不久前，它们中的一些还与“暴跌”“崩盘”等词相关联。业内人士认为，本轮汇率反弹，与市场对美联储降息预期相关。中信证券研究所副所长明明认为，因为英国大选在即、脱欧走势不明朗、欧央行行长换届等因素，未来欧元、英镑可能出现扰动，对美元的判断中性，美元指数持续走贬概率不高。（上海证券报）
29,2019-06-23 18:57:30,,中共中央办公厅、国务院办公厅印发《关于加强和改进乡村治理的指导意见》 。
30,2019-06-23 18:50:08,,【都在等券商股开盘！同批十大头部券商获准调高短融余额上限，估算不低于2800亿】近几天，头部券商正密集发布同一内容的公告，向市场传递出流动性释放的信号。今日晚间，广发证券发布公告称，央行核准公司待偿还短期融资券余额上限为176亿元；记者还了解到，申万宏源被核准的余额上限约300亿。仅已确定余额上限的6家券商，待偿还短期融资券余额上限就达到了2148亿元，以此估算，十家券商的余额上限或不低于2800亿。（券商中国）
31,2019-06-23 18:43:49,,【国内钢价继续小跌 铁矿石市场“强中有弱”】最近一周，国内现货钢价继续呈小幅下跌的走势，市场采购心态偏于谨慎，需求表现并不太强。铁矿石市场虽表面依然稳中有所上行，但强中已隐然有偏弱的迹象。相关机构分析认为，长江中下游地区已正式入梅，高温多雨天气对工地施工将会造成一定的不利影响，钢材市场的供需矛盾将会有所加剧。短期内国内钢价仍有下行压力，但同时也存在一些“托底”因素。（新华社）
32,2019-06-23 18:40:25,,【斯莱克：拟公开发行不超4亿元可转债】斯莱克6月23日晚间公告，公司拟公开发行可转债募集资金总额不超过4亿元，用于易拉罐、盖及电池壳生产线项目、补充流动资金。
33,2019-06-23 18:32:27,,【赞宇科技：拟收购子公司杜库达30%股权 转让子公司南通凯塔60%股权】赞宇科技公告，公司原拟将南通凯塔51%股权等转让给东方华泽。现应南通凯塔另一股东双马化工提请，同时也为解决公司与双马化工、南通凯塔间的纠纷及业绩补偿问题，公司终止与东方华泽的股权转让，拟由科翔高新以1.05亿受让公司所持南通凯塔60%股权，公司以1.83亿收购双马化工所持杜库达30%股权。2018年度业绩补偿款1.08亿元由双马化工委托中如建工指定的第三方科翔高新不晚于25日前付给公司。
34,2019-06-23 18:31:28,,【全国首个金融监管试验区落成！拟推动小贷同业拆借建设 】越秀区数字普惠金融监管试验区获得授牌，成为全国首个金融监管试验区。越秀区金融工作局相关负责人介绍，具体规划建设已在逐步推进中，包括建立地方性二级同业拆借中心、设立发展基金和搭建接入人行征信绿色通道等。行业人士认为，该试验区的试点工作将有助于增加辖内小贷公司的资金来源，并推动小贷公司接入人行征信系统，有望进一步降低小贷公司不良率。
35,2019-06-23 18:31:01,,【辛识平：指责中国“盗窃”知识产权缺乏事实依据 完全站不住脚】新华社辛识平发布评论称，日前，美国白宫贸易顾问纳瓦罗在接受福克斯电视台采访时，再次抛出“强制技术转让”“网络黑客攻击”等陈词滥调，还表示“知识产权盗窃正是美国政府对中国采取激进立场的主要原因”。再过几天，中美两国元首将在二十国集团领导人大阪峰会期间举行会晤。在这样的节骨眼上，美国一些人又出来散播谬论、制造杂音，不利于双方通过平等对话解决问题。指责中国“盗窃”知识产权缺乏事实依据，完全站不住脚。美国一些人一再把这些谬论拿出来抛售，企图混淆视听，注定不会得逞。少制造噪音杂音，多为平等对话、解决问题创造必要条件和氛围，才是务实而有建设性的态度。（新华社）
36,2019-06-23 18:22:54,,【唐山7月份或将继续加大钢企减排力度】唐山地区因6月份空气质量不降反升问题，相关部门首先加严了6月份各行业停产指施，下一步还需再加大工业企业减排力度。目前相关部门草拟了针对7月份钢企相关停限产政策，主要内容为：绩效评价为A类的节钢迁朝，沿海区城的首钢京唐、文丰钢铁、唐钢中厚板、德龙部铁、纵横钢铁，烧结机(球团)、高炉、转炉、石灰窑限产20％；除此以外，全市其他钢铁企业烧结机(球团)、高炉、转炉、石灰窑限产比例不低于50%，高炉要扒炉停产。（我的钢铁网）
37,2019-06-23 18:06:32,,【聚力文化：董事长增持计划爽约】聚力文化6月23日晚间公告，此前公司董事长余海峰计划自2018年6月22日起十二个月内增持公司股份，增持额不低于1亿元。截至2019年6月21日，增持计划实施期限已届满，余海峰未增持聚力文化股票，未能实施此次增持计划。未增持原因为受资本市场变化、游戏行业监管政策变化等影响，公司股价持续下跌，余海峰未能通过股票质押及其他方式融得资金。
38,2019-06-23 18:03:16,,多家基金公司近日发布公告，宣布旗下部分产品可参与科创板投资。此外，不少灵活配置型基金为了防止套利资金涌入摊薄打新收益，也纷纷选择“闭门谢客”。（上海证券报）
39,2019-06-23 17:53:06,,【肖亚庆甘肃省礼县调研定点扶贫工作：扶持地区特色产业】6月21日至22日，国家市场监督管理总局局长、党组书记肖亚庆在甘肃省礼县调研定点扶贫工作时强调，要立足地方脱贫实际，扶持地区特色产业，发掘当地文化底蕴，为经济健康可持续发展奠定基础。市场监管总局要在农产品地理标志注册培育、推动智力扶贫和电商扶贫、引导企业扩大宣传、营造公平竞争市场环境、加强农村消费维权等方面加大帮扶力度。
40,2019-06-23 17:49:40,,【天夏智慧：索芙特科技拟减持公司不超3%股份】天夏智慧6月23日晚间公告，公司持股6.92%的股东索芙特科技拟15个交易日之后的六个月内，减持不超过公司总股本3%的股份，减持资金拟用于偿还股票质押债务。索芙特科技为公司控股股东恒越投资的一致行动人。
41,2019-06-23 17:46:44,,【央行王信：区域金融改革试点把好准入关 建立进出机制】6月23日消息，中国人民银行研究局局长王信今日在清华五道口全球金融论坛——广州峰会上详细介绍了区域金融改革试点的情况。他认为，地方试点需要把好“准入关”，明确地方政府的试点主体责任。针对只要“帽子”不落实或整改不力的地区，需要建立进出机制。王信指出，整体来看，相较于金融调控和金融市场的改革开放，地方在金融服务和金融管理等方面的探索创新更容易取得成效。
42,2019-06-23 17:39:44,,【中集集团：中集车辆已就上市事宜递交经修订聆讯后资料集】中集集团今日晚间公告称，下属公司中集车辆已于6月23日就建议分拆及上市向香港联交所递交经修订聆讯后资料集。
43,2019-06-23 17:38:29,,【山东烟台打破两项全国小麦单产纪录】由山东省烟台市农科院选育的烟农1212小麦新品种，日前分别在莱州和莱阳突破全国小麦单产最高纪录和全国旱地小麦单产最高纪录。实收测产结果显示，莱州金海种业的小麦高产田实收3.33亩，亩产840.7公斤，创全国小麦单产纪录。莱阳大黑石埠村旱地小麦高产田实收3.3亩，亩产731.85公斤，刷新1997年烟台市农科院选育的鲁麦21创造的693.64公斤的全国旱地小麦高产纪录。（新华社）
44,2019-06-23 17:35:07,,【大商所召开2019年会员大会 开启国际一流衍生品交易所建设新征程】大连商品交易所2019年会员大会近日以网络通讯形式顺利召开，大会顺利完成原定议程，全票通过了相关审议事项及《大连商品交易所2019年会员大会决议》。大会号召，稳步加快国际一流衍生品交易所建设，努力在服务实体经济、服务国家战略中不断取得新的突破，以优异成绩向新中国成立70周年献礼。（中证网）
45,2019-06-23 17:30:05,,【同德化工：子公司与高通石油设立供应链管理公司】同德化工6月23日晚间公告，公司全资子公司同德资产与深圳市前海高通石油化工贸易有限公司（简称“高通石油”）签署《投资合作协议》。同德资产与高通石油拟在深圳市共同投资合作成立深圳市同德通供应链管理有限公司，注册资本金为1000万元。其中，同德资产认缴出资510万元，占合资公司总股本的51%。此次投资有利于公司进一步拓展非民爆业务领域，培育新的利润增长点。
46,2019-06-23 17:11:50,,"艾德生物：与LOXO ONCOLOGY,INC.（礼来制药子公司）达成靶向药物临床研究合作。"
47,2019-06-23 17:11:36,,花园生物预计上半年盈利22500-26500万元，比上年同期增加46.92%-73.04%。业绩变动的主要原因是，本期维生素D3产品销量同比增长，使公司利润增加。
48,2019-06-23 17:07:25,,【万达信息：第一大股东将变更为中国人寿及其一致行动人】万达信息公告称，控股股东万豪投资、实控人史一兵与中国人寿签署股份转让协议，拟转让公司5.0142%的股份。如《股份转让协议》最终生效并完成交割，公司第一大股东将变更为中国人寿及其一致行动人。公司股票及债券将于6月24日上午开市起复牌。
49,2019-06-23 17:03:12,,【苏宁易购宣布收购家乐福中国80%股权】苏宁易购公告称，公司全资子公司苏宁国际拟出资48亿元收购家乐福中国80%股份。本次交易完成后，苏宁易购将成为家乐福中国控股股东，家乐福集团持股比例降至20%。
50,2019-06-23 17:00:10,,双箭股份：2019年上半年预计盈利1.09亿元-1.31亿元，同比预增50%-80%。
51,2019-06-23 16:59:13,,【广发证券：收到央行提高公司短期融资券最高待偿还余额的通知】广发证券6月23日晚间公告，公司近日收到《中国人民银行金融市场司关于广发证券短期融资券最高待偿还余额有关事项的通知》。根据该通知，公司的待偿还短期融资券余额上限为176亿元。公司将按照规定对公司待偿还短期融资券余额进行管理，待偿还短期融资券余额将不违反关于余额上限的相关规定。
52,2019-06-23 16:58:45,,粤泰股份公告称，预计20亿元的总投资额目前仅为公司对该项目的初步投资估算金额，公司预计的项目整体投资周期为4-5年左右。截止目前，公司已累计对宝瑞国际医学中心完成投资人民币3.3亿元。由于宝瑞国际医学中心为公司与广东省第二人民医院合作项目，除上述已经完成的投资以外，目前公司并未就宝瑞国际医学中心后续投资事项与广东省第二人民医院及有关各方达成任何投资协议。同时公司后续是否能与广东省第二人民医院及有关各方达成投资协议目前尚存在重大不确定性。
53,2019-06-23 16:58:21,,威创股份：控股股东拟将10%公司股份转让给科学城集团，转让总价4.823亿元。
54,2019-06-23 16:46:43,,【80多位非洲官员来华推进落实行动】24日至25日，80多位来自非洲国家的副部级以上官员将齐聚北京。 这些非洲官员将出席的是中非合作论坛北京峰会成果落实协调人会议。（新华社）
55,2019-06-23 16:37:22,,【海通证券：近期市场上涨暂时定性为调整阶段的反抽】海通证券最新策略报告认为，借鉴历史，牛市第一波上涨后的调整结束进入第二波上涨，需要市场面、基本面、政策面共振，如2006年初、2009年初。目前条件还不成熟，近期市场上涨暂时定性为调整阶段的反抽，市场面调整幅度和形态不够。短期等待各个因素转变，上证综指2440点反转的中期趋势不变，着眼中期均衡配置核心资产与科技券商。
56,2019-06-23 16:36:45,,【中信建投：市场化改革政策的持续影响是牛市第二阶段的驱动力】中信建投认为，在当前牛市第二阶段逐步开启的条件下，市场化改革政策的持续影响是牛市第二阶段的驱动力。发展直接融资是金融供给侧改革的重要内容，转融通制度的修订将进一步强化资本市场价值发现的功能，并购重组新规将增强服务实体经济的能力。这对于券商等非银金融机构而言都构成巨大的政策红利。看好三季度的金秋行情，建议加配券商保险等非银金融板块，坚持蓝筹基石、科创先锋的行业配置思路，迎接牛市第二阶段上涨的到来。
57,2019-06-23 16:17:10,,【SpaceX载人龙飞船首飞定于11月15日】有消息人士向媒体披露，SpaceX载人龙飞船将在11月15日发射，届时将有宇航员乘坐载人龙飞船前往国际空间站。此前，SpaceX在今年三月份已经成功利用载人龙飞船进行测试飞行，不过随后的地面测试中，SpaceX证实载人龙飞船损毁严重，这一事故导致载人龙飞船正式飞行推迟。
58,2019-06-23 16:15:59,,【人民日报评论：知识产权保护，电商发展之基】电商平台让消费者轻松实现“买买买”，同时也增加了知识产权保护的复杂性。一家电商平台的数据显示，平台每日新发商品逾3000万件，存量商品达15亿件以上，每年权利人投诉量上千万次，用户举报上百万次。来自法院的数据也显示，2018年全国地方人民法院新收知识产权民事一审案件约28.34万件，同比增长了40.97%。在此背景下，依法打击电商平台的售假行为，保护消费者的合法权益，既是维护知识产权权益人品牌和收益的必要举措，也是电商平台赢得市场的明智之举。
59,2019-06-23 16:13:36,,【兴业证券：做多窗口如期而至 新兴成长+券商是主攻方向】兴业证券最新策略报告称，本周，G20会议临近、科创板推出、二季度经济数据真空期，市场如约迎来阶段性做多窗口期。新兴成长方向+券商是本阶段反弹主攻方向。中期则回归基本面，压力仍在。从实体经济数据看，经济和企业盈利存在较大下行压力。企业盈利影响有待进一步观察。风险偏好阶段性修复后，市场中期仍需要基本面支撑，面临压力。
60,2019-06-23 16:13:09,,【*ST雏鹰：“14雏鹰债”明日起停牌】*ST雏鹰6月23日晚间公告，因重大事项存在不确定性，公司债券“14雏鹰债”于6月24日开市起停牌。
61,2019-06-23 16:12:07,,雄韬股份：股东轻机控股计划6个月内减持不超过2%公司股份。
62,2019-06-23 16:10:15,,鼎龙股份：公司股票6月24日起复牌，公司将在相关审计、评估工作完成后，再次召开董事会审议本次重组的相关事项。
63,2019-06-23 16:09:47,,【中国太保：子公司太保寿险董事长徐敬惠辞任】中国太保6月23日晚间公告，公司控股子公司太保寿险董事会收到徐敬惠的书面辞职报告，徐敬惠因年龄原因辞去太保寿险董事长、董事的职务。
64,2019-06-23 16:09:28,,【万达信息股票6月24日起复牌，未披露战略投资方】万达信息公告称，停牌期间，相关意向方与公司控股股东万豪投资就有关股权转让事宜进行了沟通，目前交易各方尚未签订《股权转让协议》，本次转让事项存在不确定性。万豪投资拟为公司引入金融保险行业某国有企业战略投资方，并以协议转让的方式向战略投资方或其指定的主体转让5%公司股份，拟受让方通过本次交易将成为公司第一大股东。
65,2019-06-23 16:02:10,,【重庆最大商贸国企混改投资方浮出水面】重庆百货大楼股份有限公司21日发布公告称，接到控股股东重庆商社集团通知，确认了重庆商社集团混合所有制改革的战略投资方，其中物美科技集团有限公司将持股45%、步步高投资集团股份有限公司将持股10%，标志着这家重庆最大的商贸国企混改投资方浮出水面。
66,2019-06-23 15:48:23,,【华泰证券：超额配售权行使后 公司发行GDR总计募资16.916亿美元】华泰证券6月23日晚间公告，公司6月20日（伦敦时间）发行全球存托凭证（GDR）。稳定价格操作人于6月21日全部行使超额配售权，按每份GDR 20.5美元的价格要求公司额外发行750.13万份GDR，约占初始发售规模的10%，稳定价格期于同日结束。此次发行的超额配售权行使后，公司发行GDR总计募资16.916亿美元。
67,2019-06-23 15:42:38,,【一边二股东清仓式急售 边定增3.78亿或迎国企股东！浙江最小城商行IPO途中股权生变】6月21日，正在辅导上市的湖州银行发布定增预案，拟向浙江省属国企物产中大定向增发1.01亿股，按每股3.73元，计划募资不超过3.78亿元。(券商中国)
68,2019-06-23 15:42:15,,"【又一起数百万金额骗贷案！骗贷人伪造伊利公章 支行长""知假放行"" 这家银行已不是第一次遭骗贷】日前，裁判文书网公布了一起骗取烟台银行承兑汇票的案件，被告人郭某某通过伪造相关材料，欺骗烟台市商业银行福山支行与其经营的烟台润之商贸有限公司签订协议，同时，通过烟台银行的某位支行长给郭某某“运作”，最终造成烟台银行损失420万元。（券商中国）"
69,2019-06-23 15:27:33,,【中国首条下穿黄河地铁——兰州地铁1号线开通运营】23日上午9时，兰州市轨道交通1号线一期工程全线开通试运营，该工程既是甘肃省首条轨道交通线路，也是国内首条下穿黄河的轨道交通线路。（中国新闻网）
70,2019-06-23 15:22:36,,中国与南非21日签署一系列经贸合作协议，涉及矿业、农业、工业产品等多个领域。（央视新闻）
71,2019-06-23 15:09:49,,【第三个外资投顾牌照落地 这些资管巨头的下一个目标是公募牌照】记者近日获悉，全球大型资管机构贝莱德(Blackrock)在上海的外商独资企业 “贝莱德投资管理(上海)有限公司”，已于中国证券投资基金业协会完成了在中国提供投资顾问服务的登记备案。贝莱德全球资管规模高达6.25万亿美元。（第一财经）
72,2019-06-23 14:59:13,,【联邦快递再回应：错误退回华为手机，道歉】联邦快递拒绝为美IT杂志寄送华为手机一事又有新进展。当地时间6月22日，PC Magazine首席分析师塞根（Sascha Segan）在其社交媒体更新了上述事件进展，称联邦快递再度发来声明，表示华为手机是被“错误地退回”给发件人，“我们为此次错误操作道歉”。塞根指出，联邦快递的前后表述自相矛盾。而华为方面也已作出回应，称联邦快递拒投递华为手机，“这完全是对（美国）行政命令和实体名单的误读。”（环球时报）
73,2019-06-23 14:58:08,,【天津依法推进对民营经济的司法服务】天津市高级人民法院党组成员、执行局局长蒋亚辉介绍，近年来天津法院认真贯彻落实中央和天津关于促进民营经济发展的决策部署，找准司法服务民营经济发展的切入点、结合点和着力点。针对民营企业在生产经营、创新创造、维护权益方面的问题和需求，天津法院制定了《关于进一步加强对民营企业及民营企业家司法服务保障的意见》等促进民营经济发展的实施意见；依法公正审判，切实维护民营企业合法权益。（新华社）
74,2019-06-23 14:53:50,,【5年多来 自贸试验区累计新设企业60余万家】自2013年9月份，上海自贸试验区挂牌运行以来，我国又分3批增设了11家自由贸易试验区，形成了由南到北、由东至西的“1+3+7+1”的开放发展格局。经过5年多探索，各自贸试验区发挥了全面深化改革和扩大开放试验田的作用。（经济日报）
75,2019-06-23 14:49:45,,【中国首例“特高压+5G”基站在安徽落成】随着位于安徽省宣城市境内的特高压古泉换流站5G网络上下行速率顺利完成测试，并达到设计要求，中国首座“特高压+5G”基站建设宣告成功。特高压古泉换流站是目前世界上电压等级最高的特高压输电工程——“昌吉—古泉±1100千伏特高压直流输电线路工程”的落点。特高压古泉换流站5G网络建设工程也是中国第一例特高压变电站与5G技术结合的泛在电力物联网建设工程。（新华社）
76,2019-06-23 14:42:03,,【台湾长荣航空23日至28日取消逾600航班 影响10万多名旅客】台湾长荣航空空服员罢工进入第4天。长荣航空公告，23日至28日，将取消640多个航班，预计影响10万多名旅客。因劳资纠纷未达成共识，长荣航空空服员20日下午发起罢工。截至22日，长荣航空已取消200多个航班，影响4万多名旅客。（新华网）
77,2019-06-23 14:39:03,,【超大直径盾构机“振兴号”在江苏下线】采用自主技术和多项国产核心部件设计制造的超大直径盾构机“振兴号”，日前在江苏常熟中交天和机械设备制造有限公司下线。这是首台具有管片智能拼装系统的国产盾构机。（新华社）
